ASSERT: 04.08.2019 11:16:09 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 11:16:09 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 11:16:09 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 11:16:09 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 11:16:09 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 11:28:25 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 11:28:25 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 11:28:25 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 11:28:25 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 11:28:25 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 11:28:25 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 11:28:25 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 11:28:25 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 11:28:25 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 11:28:25 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 11:28:27 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 11:28:27 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 11:28:27 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 11:28:27 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 11:28:27 REASON: (0), File: int_drawing_view.cpp, Line: 148
