ASSERT: 03.08.2019 18:44:20 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:44:20 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:44:20 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:44:20 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:44:20 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:44:20 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:44:20 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:44:20 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:44:21 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:44:21 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:44:21 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:44:21 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:50:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:50:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:50:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:50:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:50:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:50:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:50:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:50:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:51:45 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:51:45 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:51:46 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:51:46 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:51:47 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:51:47 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:51:47 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 03.08.2019 18:51:47 REASON: (0), File: int_drawing_view.cpp, Line: 148
